,Time stamps (secs),Mean of events,1,2,3,4
Time of event onset (secs),,,74.55653888,395.81188096,869.05946112,1293.55546624
Max values,,,2.333469,4.5973816,4.298629,4.4929686
Time of max values,,,0.3219197935616034,0.911743781765125,1.304959773900805,8.579455628410887
Max value above 1?,,,Yes,Yes,Yes,Yes
Filename,,,NAc_3147K_2614K-211118-105517,NAc_3147K_2614K-211118-105517,NAc_3147K_2614K-211118-105517,NAc_3147K_2614K-211118-105517
Custom name,,,Peri-event_other,Peri-event_other,Peri-event_other,Peri-event_other
,4.155775716884486,0.5798115,-1.2704215,2.3477898,1.3063334,-0.06445584
,4.254079714918404,1.1992198,-0.6480506,2.8732839,2.5811183,-0.009472549
,4.352383712952326,1.2678812,0.20209523,1.8365926,2.2447226,0.78811455
,4.450687710986246,0.4038393,-1.324624,-0.0776259,1.2492434,1.7683636
,4.548991709020164,0.5725324,-0.19798817,0.04972063,2.7671206,-0.32872337
,4.647295707054086,0.86258525,1.1776001,-1.3594277,2.474723,1.1574454
,4.745599705088006,0.1852399,0.5839506,-1.252582,1.9457518,-0.53616077
,4.843903703121928,0.65443194,0.5849538,-0.77778774,2.0583792,0.7521826
,4.942207701155846,0.3401907,0.16759542,0.617308,1.9967749,-1.4209154
,5.040511699189766,0.2020253,0.27154627,-0.630223,1.8562136,-0.6894357
,5.138815697223688,0.7853587,0.6955358,0.390476,1.4157127,0.6397104
,5.237119695257606,0.100204006,1.7436417,-2.6156034,1.5176708,-0.24489303
,5.335423693291524,0.2484998,1.722986,-1.6503954,1.5668771,-0.64546853
,5.433727691325446,0.56894916,1.1086507,0.29850492,1.2472174,-0.3785766
,5.532031689359366,0.2529341,1.3972793,-0.7174028,2.7829318,-2.4510717
,5.630335687393288,0.08916673,0.82346296,-0.60562456,0.9751456,-0.83631706
,5.728639685427206,0.6434094,0.72611314,-0.2556336,2.1149957,-0.011837769
,5.826943683461126,-0.33303493,0.18538202,-1.4032167,0.8056264,-0.9199314
,5.925247681495048,-0.22389507,0.24628587,-1.3717718,0.82656854,-0.59666294
,6.023551679528968,-0.0154299885,0.24319604,-0.39418107,0.9338118,-0.84454674
,6.121855677562884,-0.16226497,0.41078946,-0.6075899,0.6481308,-1.1003902
,6.220159675596808,-0.06231512,-0.47443804,-0.42319816,0.55422133,0.094154365
,6.318463673630728,-0.16057937,-0.7276941,-0.45078948,0.44876182,0.08740431
,6.416767671664648,0.32789028,-0.80811006,-0.09903872,0.87284607,1.3458638
,6.5150716696985675,-0.1351862,-0.48251376,-1.1560123,-0.011668396,1.1094497
,6.613375667732484,-0.18461642,-0.17227633,-2.7342794,0.37855825,1.7895318
,6.7116796657664075,-0.27721414,-0.17078157,-1.7926807,0.75262135,0.101984434
,6.8099836638003275,-1.0357196,-0.17413224,-2.7106187,0.856143,-2.1142707
,6.9082876618342475,0.16767174,0.73994714,-1.2039375,0.3607541,0.7739232
,7.0065916598681675,0.035545126,1.3187093,-2.1496468,0.035897393,0.93722063
,7.104895657902087,0.77199584,1.8696729,-1.5511668,0.26191196,2.5075653
,7.203199655936007,0.6545311,1.1319448,-1.7942735,0.48231113,2.798142
,7.301503653969927,0.9535757,1.6854465,-1.8578569,0.713864,3.272849
,7.399807652003847,1.2777951,1.1963397,-1.0084733,1.6631978,3.2601159
,7.498111650037767,1.4522969,0.99949324,-1.1726724,1.7115453,4.270821
,7.596415648071687,0.51718205,0.27666256,-1.8513701,0.7417319,2.9017038
,7.694719646105607,1.295675,0.7440602,-1.6764966,2.4681828,3.6469536
,7.793023644139527,1.6162665,0.83384603,-1.3719773,2.599308,4.403889
,7.891327642173447,0.2005744,-0.06593788,-2.1765444,0.52388716,2.5208926
,7.989631640207367,-0.072073996,-0.09283348,-4.5595455,1.1462063,3.2178767
,8.087935638241287,0.5666623,0.77535987,-2.650812,1.8508295,2.291272
,8.186239636275207,-0.2605275,0.8427945,-3.4622638,1.1746355,0.4027239
,8.284543634309127,0.43812522,-0.004311731,-2.9820106,1.6133198,3.1255035
,8.382847632343047,0.40464318,0.60209835,-3.822197,1.0744501,3.7642212
,8.481151630376967,0.16593462,-0.3646386,-3.6585886,2.0733867,2.613579
,8.579455628410887,0.7779789,-0.33596733,-2.5272033,1.4821175,4.4929686
,8.677759626444807,0.12942663,-0.17381121,-2.9659157,1.2750412,2.3823922
,8.776063624478727,-0.0052003264,-0.22782312,-3.4334779,0.3339433,3.3065562
,8.874367622512647,0.50282097,-0.57160735,-2.4071658,1.8800516,3.1100054
,8.97267162054657,0.4841224,1.0981773,-3.8283498,1.3768892,3.289773
,9.070975618580487,0.05028078,0.5313833,-3.6377797,2.0596125,1.247907
,9.169279616614407,0.5460236,0.9000066,-2.4897983,2.1182108,1.6556754
,9.267583614648327,0.45647866,1.2371396,-3.3061442,2.0474017,1.8475175
,9.365887612682247,0.3872092,1.5692667,-3.233775,1.4298613,1.7834837
,9.464191610716167,0.5934369,1.940388,-2.7338557,1.5980811,1.5691342
,9.562495608750087,0.26526076,1.6234993,-2.0814776,1.8013368,-0.28231537
,9.660799606784007,0.6918034,1.5767105,-2.288862,1.1136699,2.3656952
,9.75910360481793,0.8863034,1.979071,-2.3186755,1.0095097,2.8753085
,9.857407602851847,0.75714874,1.6486193,-2.0351453,1.0761018,2.339019
,9.955711600885767,0.59335697,0.7721898,-2.1912649,1.8418227,1.95068
,10.05401559891969,0.51396626,1.0143204,-3.8861144,1.805752,3.121907
